#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,notes
,E6S,7/16/21,yellow p78,60,68,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",
,E6S,7/16/21,yellow p78,68,80,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",
,E6S,7/16/21,yellow p78,80,91,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",
,E6S,7/16/21,yellow p78,91,116,,,C,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",
,E6S,7/16/21,yellow p78,116,128,,,C,,"clay, VFGR",moist,F/VF-F,"7.5 YR 4/3; red-orange, purple, gray fragments",
,E6S,7/16/21,yellow p78,128,131,,,C,,"clay, VFGR",moist,F/VF-F,"10 YR 4/2; red, red-orange, purple, gray fragments",
,E6S,7/16/21,yellow p78,131,147,,,C,fibrous,"clay, VFGR",moist,VF/VF,"10 YR 4/2; red, red-orange, purple, gray fragments","a few gravels, 30-40 mm"
,E6S,7/16/21,yellow p78,147,154,,,C,fibrous,"sandy clay, XGR",moist,VF/VF,10 YR 4/2; strong orange mottle direct from fragments,
,E6S,7/16/21,yellow p78,154,161,,,,,"sandy clay, VGR",wet,,"7.5 YR, 4/3",gravel subangular to 40 mm
,E6S,7/16/21,yellow p78,161,173,,,,,"sandy clay, VGR",wet,VF/VF,"7.5 YR, 4/4",gravel subangular to 40 mm
,E6S,7/16/21,yellow p78,173,182,,,,,"clay, XFGR",saturated,,10 YR 3/6,iron-stained water
,E6S,7/16/21,yellow p78,182,183,,,,,GR,saturated,,,"hit rock(s), could not auger beyond them."
,,,,,,,,,,,,,,
33,E5S,7/16/21,yellow p77,100,108,,,,,"sandy clay, VFGR",wet,C/VF-M,"10 YR, 4/4",gravel sub-rounded; deepened original well
,E5S,7/16/21,yellow p77,108,113,,,,,"sandy clay, GR",wet,C/VF-M,"10 YR, 4/1; orange mottled, more gray",gravel sub-rounded to 40 mm
,E5S,7/16/21,yellow p77,113,120,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 4/3; orange mottled",gravel sub-rounded to 40 mm
,E5S,7/16/21,yellow p77,120,126,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 3/3; orange mottled",gravel sub-rounded to 40 mm
,E5S,7/16/21,yellow p77,126,130,,,,,"sandy clay, GR",saturated,C/VF-F,"10 YR, 3/3; orange mottled",gravel sub-rounded to 40 mm
,E5S,7/16/21,yellow p77,130,138,,,,,"sandy clay, XGR",saturated,F/VF-F,"10 YR, 4/4",gravel sub-rounded to 40 mm
,E5S,7/16/21,yellow p77,138,150,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4",finer gravel
,E5S,7/16/21,yellow p77,150,165,,,,,"sandy clay, XGR",saturated,,"10 YR, 3/6","gravel sub-angular, larger to 45 mm"
,E5S,7/16/21,yellow p77,165,179,,,,,FGR,saturated,,,"gravel rounded, mostly 2-4 mm, a few to 16 mm"
,,,,,,,,,,,,,,
34,EER-1,6/5/24,yellow p137,70,74,,,,,"clay, GR",,,,"transition from clay to rounded gravels; replaced well, seemed to be frost-heaved, unable to deepen"
,,,,,,,,,,,,,,
35,KWF-2,6/11/25,2015-25 Or V3 p60,,,,,,,,,,,
,,,,,,,,,,,,,,
36,KWT-2,6/14/25,2015-25 Or V3 p62,,,,,,,,,,,
,,,,,,,,,,,,,,
37,EWF-1,6/12/25,2015-25 Or V3 p64,,,,,,,,,,,
,,,,,,,,,,,,,,
38,KER-2,6/15/25,2015-25 Or V3 p66,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
