"DateTime","(mm) Grass Reference ET (gridMET) at -120.2390E,39.4316N, 2017-10-01 to 2021-12-31"
"2020-12-21",2
"2020-12-22",1.6
"2020-12-23",1.4
"2020-12-24",1.6
"2020-12-25",1.6
"2020-12-26",0.8
"2020-12-27",1
"2020-12-28",0.7
"2020-12-29",1
"2020-12-30",1.4
"2020-12-31",0.5
"2021-01-01",1.1
"2021-01-02",0.8
"2021-01-03",1
"2021-01-04",0.9
"2021-01-05",1.2
"2021-01-06",1.4
"2021-01-07",1.4
"2021-01-08",1.3
"2021-01-09",1.3
"2021-01-10",0.9
"2021-01-11",1.7
"2021-01-12",1.7
"2021-01-13",1.1
"2021-01-14",1.5
"2021-01-15",2
"2021-01-16",1.4
"2021-01-17",1.6
"2021-01-18",1.7
"2021-01-19",1.5
"2021-01-20",1.5
"2021-01-21",1.3
"2021-01-22",1
"2021-01-23",1
"2021-01-24",0.8
"2021-01-25",0.6
"2021-01-26",0.8
"2021-01-27",0.8
"2021-01-28",0.6
"2021-01-29",0.9
"2021-01-30",1.4
"2021-01-31",1.7
"2021-02-01",2
"2021-02-02",1
"2021-02-03",0.9
"2021-02-04",1.3
"2021-02-05",2
"2021-02-06",2
"2021-02-07",2.2
"2021-02-08",2.1
"2021-02-09",1.6
"2021-02-10",1.5
"2021-02-11",1.2
"2021-02-12",1.5
"2021-02-13",1.1
"2021-02-14",0.9
"2021-02-15",1.5
"2021-02-16",1.4
"2021-02-17",1.1
"2021-02-18",1.5
"2021-02-19",1.5
"2021-02-20",1
"2021-02-21",1.5
"2021-02-22",2.1
"2021-02-23",2.1
"2021-02-24",1.9
"2021-02-25",2.3
"2021-02-26",2.4
"2021-02-27",1.4
"2021-02-28",2.1
"2021-03-01",2.3
"2021-03-02",2.5
"2021-03-03",2.2
"2021-03-04",2.3
"2021-03-05",2.7
"2021-03-06",1.8
"2021-03-07",2
"2021-03-08",1.5
"2021-03-09",1.5
"2021-03-10",1.2
"2021-03-11",1.1
"2021-03-12",2.1
"2021-03-13",2.8
"2021-03-14",2.2
"2021-03-15",1.2
"2021-03-16",2
"2021-03-17",2.2
"2021-03-18",2.1
"2021-03-19",1.5
"2021-03-20",1.7
"2021-03-21",2.1
"2021-03-22",1.7
"2021-03-23",1.7
"2021-03-24",2.5
"2021-03-25",2.2
"2021-03-26",2.5
"2021-03-27",3.3
"2021-03-28",3.5
"2021-03-29",3.2
"2021-03-30",2.9
"2021-03-31",4.2
"2021-04-01",3.7
"2021-04-02",3.8
"2021-04-03",4
"2021-04-04",3.9
"2021-04-05",3.3
"2021-04-06",3.4
"2021-04-07",2.9
"2021-04-08",3.5
"2021-04-09",3.7
"2021-04-10",4.2
"2021-04-11",3.7
"2021-04-12",3.7
"2021-04-13",3.3
"2021-04-14",2.6
"2021-04-15",3.2
"2021-04-16",3.4
"2021-04-17",3.9
"2021-04-18",4.1
"2021-04-19",4.9
"2021-04-20",3.9
"2021-04-21",4.1
"2021-04-22",4.3
"2021-04-23",3.9
"2021-04-24",2.3
"2021-04-25",2.2
"2021-04-26",2.6
"2021-04-27",3.3
"2021-04-28",4.1
"2021-04-29",5.4
"2021-04-30",5
"2021-05-01",5.1
"2021-05-02",3.8
"2021-05-03",4.2
"2021-05-04",4.4
"2021-05-05",5.4
"2021-05-06",5
"2021-05-07",4.5
"2021-05-08",4.4
"2021-05-09",4.4
"2021-05-10",4.6
"2021-05-11",5.4
"2021-05-12",5.7
"2021-05-13",5.7
"2021-05-14",5.4
"2021-05-15",3.6
"2021-05-16",4.2
"2021-05-17",4.9
"2021-05-18",4.7
"2021-05-19",4.5
"2021-05-20",2.8
"2021-05-21",2.6
"2021-05-22",2.6
"2021-05-23",3.8
"2021-05-24",4.4
"2021-05-25",4.1
"2021-05-26",4.9
"2021-05-27",5.2
"2021-05-28",4.9
"2021-05-29",5.7
"2021-05-30",5.9
"2021-05-31",6
"2021-06-01",6.2
"2021-06-02",6.1
"2021-06-03",6.3
"2021-06-04",6.4
"2021-06-05",6.3
"2021-06-06",5.8
"2021-06-07",5.5
"2021-06-08",4.5
"2021-06-09",3.9
"2021-06-10",4.4
"2021-06-11",4.9
"2021-06-12",5.1
"2021-06-13",5.4
"2021-06-14",4.8
"2021-06-15",5.6
"2021-06-16",6.3
"2021-06-17",6.5
"2021-06-18",6.6
"2021-06-19",6.7
"2021-06-20",6.4
"2021-06-21",6.9
"2021-06-22",6.3
"2021-06-23",5.8
"2021-06-24",5
"2021-06-25",5.8
"2021-06-26",6.7
"2021-06-27",7.1
"2021-06-28",6.9
"2021-06-29",6.5
"2021-06-30",6.7
"2021-07-01",6
"2021-07-02",5.8
"2021-07-03",6
"2021-07-04",5.2
"2021-07-05",6
"2021-07-06",6.7
"2021-07-07",6.8
"2021-07-08",7.3
"2021-07-09",6.4
"2021-07-10",6.9
"2021-07-11",7.2
"2021-07-12",7.4
"2021-07-13",7.1
"2021-07-14",6.9
"2021-07-15",6.1
"2021-07-16",6.3
"2021-07-17",6.4
"2021-07-18",5.8
"2021-07-19",4.8
"2021-07-20",6.2
"2021-07-21",6.6
"2021-07-22",6.4
"2021-07-23",6.2
"2021-07-24",6.6
"2021-07-25",6.5
"2021-07-26",6.1
"2021-07-27",5.5
"2021-07-28",5.6
"2021-07-29",5.5
"2021-07-30",5.1
"2021-07-31",5.7
"2021-08-01",5.2
"2021-08-02",6.5
"2021-08-03",6.5
"2021-08-04",7
"2021-08-05",6.6
"2021-08-06",5.3
"2021-08-07",6
"2021-08-08",6.3
"2021-08-09",5.4
"2021-08-10",6.3
"2021-08-11",6.1
"2021-08-12",6.2
"2021-08-13",5.8
"2021-08-14",6.2
"2021-08-15",6.3
"2021-08-16",6.9
"2021-08-17",6.4
"2021-08-18",4.7
"2021-08-19",4.6
"2021-08-20",5.2
"2021-08-21",5.3
"2021-08-22",4.8
"2021-08-23",5.6
"2021-08-24",5.5
"2021-08-25",5.2
"2021-08-26",5
"2021-08-27",5.6
"2021-08-28",6.3
"2021-08-29",5.8
"2021-08-30",6.2
"2021-08-31",5.9
"2021-09-01",5.4
"2021-09-02",5
"2021-09-03",4.6
"2021-09-04",4.3
"2021-09-05",4.7
"2021-09-06",4.6
"2021-09-07",5
"2021-09-08",5.4
"2021-09-09",4.9
"2021-09-10",3
"2021-09-11",3.7
"2021-09-12",4.4
"2021-09-13",4.6
"2021-09-14",4.6
"2021-09-15",4.4
"2021-09-16",4.1
"2021-09-17",4.3
"2021-09-18",4.4
"2021-09-19",3.2
"2021-09-20",4.4
"2021-09-21",4.4
"2021-09-22",4.2
"2021-09-23",4.2
"2021-09-24",4.7
"2021-09-25",4.2
"2021-09-26",4.7
"2021-09-27",4.4
"2021-09-28",2.8
"2021-09-29",3.5
"2021-09-30",4.2
"2021-10-01",3.9
"2021-10-02",4.2
"2021-10-03",3.6
"2021-10-04",3.4
"2021-10-05",3.5
"2021-10-06",2.8
"2021-10-07",2.1
"2021-10-08",1.8
"2021-10-09",2.1
"2021-10-10",2.5
"2021-10-11",1.7
"2021-10-12",2
"2021-10-13",2
"2021-10-14",2.2
"2021-10-15",3.5
"2021-10-16",3.7
"2021-10-17",2.8
"2021-10-18",1.1
"2021-10-19",2
"2021-10-20",1.7
"2021-10-21",1.4
"2021-10-22",1
"2021-10-23",0.8
"2021-10-24",0.5
"2021-10-25",0.6
"2021-10-26",1.1
"2021-10-27",1.5
"2021-10-28",2.4
"2021-10-29",2.4
"2021-10-30",1.8
"2021-10-31",1.6
"2021-11-01",1.3
"2021-11-02",1.2
"2021-11-03",1.9
"2021-11-04",1.5
"2021-11-05",2.3
"2021-11-06",1.4
"2021-11-07",1.2
"2021-11-08",1.9
"2021-11-09",0.9
"2021-11-10",1.1
"2021-11-11",1.3
"2021-11-12",1.8
"2021-11-13",1.6
"2021-11-14",2
"2021-11-15",2.5
"2021-11-16",1.4
"2021-11-17",1.8
"2021-11-18",1.8
"2021-11-19",1.1
"2021-11-20",1.2
"2021-11-21",2
"2021-11-22",2
"2021-11-23",1.6
"2021-11-24",1.7
"2021-11-25",2.2
"2021-11-26",1.6
"2021-11-27",1.1
"2021-11-28",1.6
"2021-11-29",1.5
"2021-11-30",1.8
"2021-12-01",2.3
"2021-12-02",1.4
"2021-12-03",1.4
"2021-12-04",1.9
"2021-12-05",1.7
"2021-12-06",1.1
"2021-12-07",0.7
"2021-12-08",0.7
"2021-12-09",0.5
"2021-12-10",0.8
"2021-12-11",1.2
"2021-12-12",0.8
"2021-12-13",0.2
"2021-12-14",0.5
"2021-12-15",0.6
"2021-12-16",0.3
"2021-12-17",0.8
"2021-12-18",1
"2021-12-19",1.1
"2021-12-20",1.2
"2021-12-21",1.2
"2021-12-22",0.8
"2021-12-23",0.6
"2021-12-24",0.8
"2021-12-25",0.6
"2021-12-26",0.7
"2021-12-27",0.5
"2021-12-28",0.8
"2021-12-29",0.6
"2021-12-30",0.7
"2021-12-31",0
