,"(mm) Grass Reference ET (URMA) at -120.2609E,39.4333N, 1985-10-01 to 2025-11-01"
"1993-06-16",4.882
"1993-06-17",5.0409
"1993-06-18",5.5722
"1993-06-19",5.2917
"1993-06-20",5.9134
"1993-06-21",4.9634
"1993-06-22",4.6451
"1993-06-23",5.1331
"1993-06-24",5.9488
"1993-06-25",6.3457
"1993-06-26",6.4689
"1993-06-27",6.3612
"1993-06-28",5.6042
"1993-06-29",5.2545
"1993-06-30",5.6839
"1993-07-01",5.9398
"1993-07-02",5.4698
"1993-07-03",5.0491
"1993-07-04",5.3059
"1993-07-05",5.5922
"1993-07-06",5.9549
"1993-07-07",5.9582
"1993-07-08",5.7012
"1993-07-09",6.069
"1993-07-10",5.794
"1993-07-11",6.0385
"1993-07-12",5.5245
"1993-07-13",5.2447
"1993-07-14",5.2148
"1993-07-15",4.5874
"1993-07-16",4.8308
"1993-07-17",4.8202
"1993-07-18",5.3465
"1993-07-19",5.3856
"1993-07-20",3.5273
"1993-07-21",4.4569
"1993-07-22",3.6654
"1993-07-23",4.1117
"1993-07-24",5.1596
"1993-07-25",5.2013
"1993-07-26",4.9722
"1993-07-27",5.4753
"1993-07-28",5.0053
"1993-07-29",4.9197
"1993-07-30",5.3205
"1993-07-31",5.8133
"1993-08-01",6.4582
"1993-08-02",5.8218
"1993-08-03",5.2212
"1993-08-04",4.8893
"1993-08-05",5.6974
"1993-08-06",5.6491
"1993-08-07",5.3701
"1993-08-08",5.7787
"1993-08-09",4.7489
"1993-08-10",5.2221
"1993-08-11",4.7878
"1993-08-12",4.6001
"1993-08-13",5.0322
"1993-08-14",4.6849
"1993-08-15",2.9341
"1993-08-16",4.0424
"1993-08-17",3.6192
"1993-08-18",5.0858
"1993-08-19",4.3133
"1993-08-20",4.1563
"1993-08-21",4.3677
"1993-08-22",4.9892
"1993-08-23",5.2489
"1993-08-24",3.837
"1993-08-25",4.5334
"1993-08-26",4.7722
"1993-08-27",4.8819
"1993-08-28",4.9964
"1993-08-29",4.2707
"1993-08-30",4.2206
"1993-08-31",4.1425
"1993-09-01",4.559
"1993-09-02",4.2367
"1993-09-03",3.8511
"1993-09-04",4.0262
"1993-09-05",4.2085
"1993-09-06",4.348
"1993-09-07",3.5987
"1993-09-08",4.5589
"1993-09-09",4.5849
"1993-09-10",4.759
"1993-09-11",5.106
"1993-09-12",4.3565
"1993-09-13",4.2365
"1993-09-14",4.2937
"1993-09-15",3.8964
"1993-09-16",3.2837
"1993-09-17",2.9402
"1993-09-18",3.2555
"1993-09-19",3.1376
"1993-09-20",3.0379
"1993-09-21",3.5623
"1993-09-22",3.62
"1993-09-23",3.7943
"1993-09-24",3.9637
"1993-09-25",3.942
"1993-09-26",4.2697
"1993-09-27",3.4976
"1993-09-28",2.8779
"1993-09-29",3.7488
"1993-09-30",3.5742
"1993-10-01",3.7466
"1993-10-02",3.5419
"1993-10-03",3.4491
"1993-10-04",2.215
"1993-10-05",1.5821
"1993-10-06",2.5047
"1993-10-07",2.8528
"1993-10-08",2.2885
"1993-10-09",1.5778
"1993-10-10",1.5779
"1993-10-11",1.7038
"1993-10-12",1.4936
"1993-10-13",1.3717
"1993-10-14",1.0013
"1993-10-15",0.8795
"1993-10-16",1.4449
"1993-10-17",1.712
"1993-10-18",1.9847
"1993-10-19",2.2936
"1993-10-20",2.3415
"1993-10-21",1.3848
"1993-10-22",2.2745
"1993-10-23",2.574
"1993-10-24",1.6662
"1993-10-25",2.7214
"1993-10-26",3.0358
"1993-10-27",2.8271
"1993-10-28",2.5661
"1993-10-29",2.0839
"1993-10-30",2.3839
"1993-10-31",1.3756
"1993-11-01",1.9804
"1993-11-02",2.1979
"1993-11-03",2.5166
"1993-11-04",2.1082
"1993-11-05",2.1987
"1993-11-06",1.894
"1993-11-07",1.5357
"1993-11-08",1.5689
"1993-11-09",1.5583
"1993-11-10",0.8412
"1993-11-11",1.395
"1993-11-12",0.9967
"1993-11-13",1.5815
"1993-11-14",1.3015
"1993-11-15",1.3821
"1993-11-16",1.52
"1993-11-17",1.2653
"1993-11-18",1.2747
"1993-11-19",1.5933
"1993-11-20",1.748
"1993-11-21",1.6364
"1993-11-22",0.57
"1993-11-23",1.1416
"1993-11-24",1.1718
"1993-11-25",1.5784
"1993-11-26",1.5743
"1993-11-27",1.5167
"1993-11-28",1.1228
"1993-11-29",0.4948
"1993-11-30",0.7427
"1993-12-01",0.6821
"1993-12-02",1.3251
"1993-12-03",1.0833
"1993-12-04",0.9082
"1993-12-05",1.2165
"1993-12-06",0.7391
"1993-12-07",0.6948
"1993-12-08",0.4903
"1993-12-09",0.5422
"1993-12-10",0.9322
"1993-12-11",0.5816
"1993-12-12",0.5474
"1993-12-13",0.5998
"1993-12-14",0.4416
"1993-12-15",0.6286
"1993-12-16",0.7205
"1993-12-17",0.7301
"1993-12-18",0.828
"1993-12-19",0.9244
"1993-12-20",1.0622
"1993-12-21",1.095
"1993-12-22",1.2535
"1993-12-23",1.2866
"1993-12-24",1.6095
"1993-12-25",1.1135
"1993-12-26",0.9176
"1993-12-27",0.6177
"1993-12-28",0.814
"1993-12-29",1.258
"1993-12-30",0.9686
"1993-12-31",0.7922
"1994-01-01",0.8805
"1994-01-02",0.478
"1994-01-03",0.9899
"1994-01-04",0.6388
"1994-01-05",0.7347
"1994-01-06",1.0848
"1994-01-07",1.0361
"1994-01-08",1.2808
"1994-01-09",0.859
"1994-01-10",0.8591
"1994-01-11",1.2492
"1994-01-12",1.6466
"1994-01-13",1.503
"1994-01-14",1.2245
"1994-01-15",1.4784
"1994-01-16",1.8349
"1994-01-17",1.777
"1994-01-18",2.0019
"1994-01-19",1.8376
"1994-01-20",1.7358
"1994-01-21",1.4707
"1994-01-22",1.3975
"1994-01-23",0.6527
"1994-01-24",0.5651
"1994-01-25",0.5616
"1994-01-26",0.6885
"1994-01-27",0.8863
"1994-01-28",0.8482
"1994-01-29",1.3111
"1994-01-30",1.3719
"1994-01-31",1.0675
"1994-02-01",1.2712
"1994-02-02",0.9627
"1994-02-03",0.849
"1994-02-04",1.0026
"1994-02-05",1.1101
"1994-02-06",0.5204
"1994-02-07",0.5901
"1994-02-08",1.0012
"1994-02-09",0.9013
"1994-02-10",0.5249
"1994-02-11",0.8225
"1994-02-12",1.5779
"1994-02-13",1.7485
"1994-02-14",1.8287
"1994-02-15",2.1116
"1994-02-16",2.0649
"1994-02-17",0.5575
"1994-02-18",0.4883
"1994-02-19",0.5414
"1994-02-20",0.5878
"1994-02-21",0.4751
"1994-02-22",1.1563
"1994-02-23",1.1927
"1994-02-24",1.5852
"1994-02-25",1.4678
"1994-02-26",0.7583
"1994-02-27",1.0361
"1994-02-28",1.6434
"1994-03-01",2.3213
"1994-03-02",2.3476
"1994-03-03",1.4992
"1994-03-04",1.2271
"1994-03-05",0.9177
"1994-03-06",1.7452
"1994-03-07",2.2392
"1994-03-08",2.3724
"1994-03-09",1.6672
"1994-03-10",1.6632
"1994-03-11",1.7233
"1994-03-12",2.6274
"1994-03-13",3.3857
"1994-03-14",2.8769
"1994-03-15",2.8364
"1994-03-16",1.9052
"1994-03-17",2.5678
"1994-03-18",2.5028
"1994-03-19",2.2388
"1994-03-20",2.65
"1994-03-21",2.3348
"1994-03-22",0.9823
"1994-03-23",1.1492
"1994-03-24",1.3091
"1994-03-25",2.0684
"1994-03-26",3.1611
"1994-03-27",3.4732
"1994-03-28",3.3576
"1994-03-29",2.2103
"1994-03-30",2.4071
"1994-03-31",3.0771
"1994-04-01",2.936
"1994-04-02",2.3681
"1994-04-03",2.3532
"1994-04-04",2.9245
"1994-04-05",2.5417
"1994-04-06",1.4568
"1994-04-07",1.5414
"1994-04-08",1.1608
"1994-04-09",1.1027
"1994-04-10",2.6523
"1994-04-11",3.1227
"1994-04-12",2.5981
"1994-04-13",3.7015
"1994-04-14",3.615
"1994-04-15",4.5381
"1994-04-16",3.7131
"1994-04-17",4.062
"1994-04-18",4.1301
"1994-04-19",4.2634
"1994-04-20",4.7461
"1994-04-21",4.1158
"1994-04-22",3.0901
"1994-04-23",1.5651
"1994-04-24",2.0485
"1994-04-25",1.0558
"1994-04-26",2.575
"1994-04-27",2.5419
"1994-04-28",3.2555
"1994-04-29",2.9976
"1994-04-30",3.3371
"1994-05-01",3.2966
"1994-05-02",2.8375
"1994-05-03",1.9023
"1994-05-04",1.9639
"1994-05-05",3.1791
"1994-05-06",1.7058
"1994-05-07",2.3074
"1994-05-08",4.0908
"1994-05-09",4.5807
"1994-05-10",4.8994
"1994-05-11",4.9692
"1994-05-12",4.3614
"1994-05-13",4.5713
"1994-05-14",5.0046
"1994-05-15",2.7475
"1994-05-16",1.9726
"1994-05-17",2.0217
"1994-05-18",2.6795
"1994-05-19",2.0756
"1994-05-20",3.757
"1994-05-21",3.9618
"1994-05-22",4.7123
"1994-05-23",5.0126
"1994-05-24",5.4482
"1994-05-25",5.3848
"1994-05-26",4.4141
"1994-05-27",4.5418
"1994-05-28",4.5594
"1994-05-29",5.0394
"1994-05-30",3.9238
"1994-05-31",3.803
"1994-06-01",4.7316
"1994-06-02",3.5388
"1994-06-03",5.3805
"1994-06-04",4.7835
"1994-06-05",4.233
"1994-06-06",3.6427
"1994-06-07",4.4832
"1994-06-08",5.0664
"1994-06-09",5.4295
"1994-06-10",6.1703
"1994-06-11",6.1792
"1994-06-12",5.3571
"1994-06-13",3.3047
"1994-06-14",5.2957
"1994-06-15",4.6843
"1994-06-16",4.6738
"1994-06-17",5.0771
"1994-06-18",5.2441
"1994-06-19",5.2777
"1994-06-20",5.1074
"1994-06-21",5.9332
"1994-06-22",5.4638
"1994-06-23",5.9183
"1994-06-24",3.9767
"1994-06-25",6.4116
"1994-06-26",5.7017
"1994-06-27",6.266
"1994-06-28",6.8607
"1994-06-29",6.9847
"1994-06-30",7.1938
"1994-07-01",6.6787
"1994-07-02",6.013
"1994-07-03",5.6058
"1994-07-04",5.7396
"1994-07-05",5.9665
"1994-07-06",5.7786
"1994-07-07",6.1405
"1994-07-08",6.9422
"1994-07-09",6.8095
"1994-07-10",6.1224
"1994-07-11",6.1731
"1994-07-12",6.1631
"1994-07-13",5.8122
"1994-07-14",6.0098
"1994-07-15",5.9991
"1994-07-16",5.937
"1994-07-17",6.2269
"1994-07-18",5.7948
"1994-07-19",5.9429
"1994-07-20",6.3659
"1994-07-21",5.3694
"1994-07-22",5.8267
"1994-07-23",5.612
"1994-07-24",6.1425
"1994-07-25",5.5456
"1994-07-26",4.9106
"1994-07-27",5.019
"1994-07-28",6.0227
"1994-07-29",5.5941
"1994-07-30",5.5451
"1994-07-31",6.0334
"1994-08-01",5.7948
"1994-08-02",5.7271
"1994-08-03",5.7214
"1994-08-04",6.0152
"1994-08-05",5.8231
"1994-08-06",5.568
"1994-08-07",6.4923
"1994-08-08",6.2228
"1994-08-09",6.3319
"1994-08-10",6.3707
"1994-08-11",6.1581
"1994-08-12",6.2953
"1994-08-13",5.6874
"1994-08-14",5.8915
"1994-08-15",6.348
"1994-08-16",5.931
"1994-08-17",6.1722
"1994-08-18",6.2437
"1994-08-19",5.7203
"1994-08-20",5.4808
"1994-08-21",5.8621
"1994-08-22",5.2177
"1994-08-23",4.9477
"1994-08-24",5.2818
"1994-08-25",5.5169
"1994-08-26",4.1996
"1994-08-27",5.5659
"1994-08-28",5.3369
"1994-08-29",4.7331
"1994-08-30",5.211
"1994-08-31",4.9828
"1994-09-01",5.185
"1994-09-02",4.8524
"1994-09-03",4.4423
"1994-09-04",4.5744
"1994-09-05",3.3191
"1994-09-06",4.652
"1994-09-07",4.2135
"1994-09-08",5.0729
"1994-09-09",4.4948
"1994-09-10",4.0051
"1994-09-11",3.2495
"1994-09-12",3.1656
"1994-09-13",3.5265
"1994-09-14",3.7363
"1994-09-15",4.7324
"1994-09-16",4.614
"1994-09-17",3.6151
"1994-09-18",4.1039
"1994-09-19",3.7907
"1994-09-20",5.0206
"1994-09-21",5.2558
"1994-09-22",4.4279
"1994-09-23",3.5238
"1994-09-24",3.1873
"1994-09-25",3.5786
"1994-09-26",3.7956
"1994-09-27",4.1268
"1994-09-28",1.9602
"1994-09-29",2.1337
"1994-09-30",2.5846
"1994-10-01",2.7331
"1994-10-02",3.4126
"1994-10-03",2.9108
"1994-10-04",1
"1994-10-05",1.8723
"1994-10-06",2.3811
"1994-10-07",2.9414
"1994-10-08",3.3328
"1994-10-09",2.7748
"1994-10-10",3.4284
"1994-10-11",3.0475
"1994-10-12",2.7617
"1994-10-13",2.3672
"1994-10-14",1.6859
"1994-10-15",1.9519
"1994-10-16",2.1165
"1994-10-17",2.0321
"1994-10-18",2.3506
"1994-10-19",2.511
"1994-10-20",2.4659
"1994-10-21",2.4716
"1994-10-22",2.1704
"1994-10-23",2.3585
"1994-10-24",1.827
"1994-10-25",2.504
"1994-10-26",1.5477
"1994-10-27",2.4409
"1994-10-28",1.7116
"1994-10-29",1.9731
"1994-10-30",1.6266
"1994-10-31",2.3121
"1994-11-01",1.1574
"1994-11-02",1.2057
"1994-11-03",1.231
"1994-11-04",1.3779
"1994-11-05",0.483
"1994-11-06",0.5429
"1994-11-07",0.8213
"1994-11-08",1.1049
"1994-11-09",0.7971
"1994-11-10",0.5877
"1994-11-11",0.9677
"1994-11-12",0.3906
"1994-11-13",0.969
"1994-11-14",1.1843
"1994-11-15",0.6284
"1994-11-16",0.3865
"1994-11-17",0.3505
"1994-11-18",0.6353
"1994-11-19",0.7665
"1994-11-20",0.3878
"1994-11-21",0.7021
"1994-11-22",1.2462
"1994-11-23",1.1378
"1994-11-24",1.0834
"1994-11-25",0.3567
"1994-11-26",0.343
"1994-11-27",0.4393
"1994-11-28",0.8708
"1994-11-29",0.9877
"1994-11-30",1.2
"1994-12-01",0.5421
"1994-12-02",0.4953
"1994-12-03",0.3841
"1994-12-04",0.3512
"1994-12-05",0.3936
"1994-12-06",0.3456
"1994-12-07",0.6316
"1994-12-08",0.7244
"1994-12-09",0.8705
"1994-12-10",0.8889
"1994-12-11",0.4678
"1994-12-12",0.3692
"1994-12-13",0.3486
"1994-12-14",0.3189
"1994-12-15",0.5317
"1994-12-16",0.3861
"1994-12-17",0.6695
"1994-12-18",0.6515
"1994-12-19",0.5929
"1994-12-20",0.9996
"1994-12-21",0.8065
"1994-12-22",1.3022
"1994-12-23",1.4058
"1994-12-24",0.4764
"1994-12-25",0.7731
"1994-12-26",0.372
"1994-12-27",0.6234
"1994-12-28",0.5044
"1994-12-29",0.7283
"1994-12-30",1.1155
"1994-12-31",0.8485
"1995-01-01",0.5417
"1995-01-02",0.7344
"1995-01-03",0.4206
"1995-01-04",0.2758
"1995-01-05",0.2772
"1995-01-06",0.4431
"1995-01-07",0.5326
"1995-01-08",0.5099
"1995-01-09",0.7009
"1995-01-10",0.479
"1995-01-11",0.5883
"1995-01-12",0.4111
"1995-01-13",0.4898
"1995-01-14",0.421
"1995-01-15",0.3189
"1995-01-16",0.3041
"1995-01-17",0.5225
"1995-01-18",0.6095
"1995-01-19",1.1125
"1995-01-20",0.78
"1995-01-21",0.7119
"1995-01-22",0.4489
"1995-01-23",0.3861
"1995-01-24",0.4218
"1995-01-25",0.3123
"1995-01-26",0.4555
"1995-01-27",0.423
"1995-01-28",0.4181
"1995-01-29",0.7321
"1995-01-30",0.5514
"1995-01-31",0.7319
"1995-02-01",1.0547
"1995-02-02",1.8871
"1995-02-03",1.729
"1995-02-04",1.6004
"1995-02-05",1.9608
"1995-02-06",1.1559
"1995-02-07",1.7201
"1995-02-08",1.0959
"1995-02-09",1.5728
"1995-02-10",1.9661
"1995-02-11",1.8035
"1995-02-12",1.1655
"1995-02-13",0.6237
"1995-02-14",1.0893
"1995-02-15",1.4852
"1995-02-16",1.1201
"1995-02-17",1.204
"1995-02-18",1.8356
"1995-02-19",2.5434
"1995-02-20",2.8007
"1995-02-21",2.2397
"1995-02-22",2.4134
"1995-02-23",2.545
"1995-02-24",2.4053
"1995-02-25",2.315
"1995-02-26",1.5194
"1995-02-27",1.2129
"1995-02-28",1.0938
"1995-03-01",0.6968
"1995-03-02",0.701
"1995-03-03",0.6309
"1995-03-04",1.1922
"1995-03-05",1.1593
"1995-03-06",1.9022
"1995-03-07",2.4627
"1995-03-08",1.0992
"1995-03-09",0.9427
"1995-03-10",0.8373
"1995-03-11",0.7552
"1995-03-12",1.1336
"1995-03-13",1.0879
"1995-03-14",1.1181
"1995-03-15",2.2631
"1995-03-16",2.4097
"1995-03-17",2.0751
"1995-03-18",1.3692
"1995-03-19",1.5136
"1995-03-20",0.9036
"1995-03-21",0.6454
"1995-03-22",0.6336
"1995-03-23",0.6725
"1995-03-24",1.2582
"1995-03-25",1.5833
"1995-03-26",1.7112
"1995-03-27",1.9031
"1995-03-28",1.9564
"1995-03-29",2.1404
"1995-03-30",2.627
"1995-03-31",2.4903
"1995-04-01",2.3108
"1995-04-02",2.6741
"1995-04-03",3.5161
"1995-04-04",3.5525
"1995-04-05",2.1962
"1995-04-06",1.3875
"1995-04-07",1.128
"1995-04-08",1.0214
"1995-04-09",1.6983
"1995-04-10",2.375
"1995-04-11",2.668
"1995-04-12",2.2833
"1995-04-13",0.9779
"1995-04-14",1.7603
"1995-04-15",1.2975
"1995-04-16",1.8584
"1995-04-17",1.6331
"1995-04-18",1.6536
"1995-04-19",2.4004
"1995-04-20",1.1268
"1995-04-21",2.4774
"1995-04-22",3.6167
"1995-04-23",3.8528
"1995-04-24",4.1072
"1995-04-25",4.1348
"1995-04-26",2.8789
"1995-04-27",1.4992
"1995-04-28",1.2809
"1995-04-29",1.4106
"1995-04-30",2.4821
"1995-05-01",1.4253
"1995-05-02",3.0003
"1995-05-03",2.5285
"1995-05-04",2.8454
"1995-05-05",1.3674
"1995-05-06",1.867
"1995-05-07",2.5931
"1995-05-08",2.8239
"1995-05-09",1.8944
"1995-05-10",3.1406
"1995-05-11",1.4736
"1995-05-12",1.8423
"1995-05-13",1.3956
"1995-05-14",2.0404
"1995-05-15",2.2012
"1995-05-16",3.7869
"1995-05-17",3.6962
"1995-05-18",4.4241
"1995-05-19",4.2594
"1995-05-20",4.2362
"1995-05-21",3.0786
"1995-05-22",2.5732
"1995-05-23",4.005
"1995-05-24",3.4246
"1995-05-25",4.172
"1995-05-26",4.2412
"1995-05-27",3.0648
"1995-05-28",4.8165
"1995-05-29",5.027
"1995-05-30",4.693
"1995-05-31",4.5585
"1995-06-01",2.8567
"1995-06-02",4.1813
"1995-06-03",4.5931
"1995-06-04",4.4996
"1995-06-05",3.002
"1995-06-06",2.7088
"1995-06-07",2.2871
"1995-06-08",3.7633
"1995-06-09",4.02
"1995-06-10",4.6507
"1995-06-11",5.3777
"1995-06-12",5.4953
"1995-06-13",3.469
"1995-06-14",2.126
"1995-06-15",1.7756
"1995-06-16",3.1077
"1995-06-17",2.1329
"1995-06-18",3.5819
"1995-06-19",4.1507
"1995-06-20",3.8085
"1995-06-21",4.0511
"1995-06-22",4.3735
"1995-06-23",5.2622
"1995-06-24",5.4474
"1995-06-25",5.4982
"1995-06-26",5.3661
"1995-06-27",5.4403
"1995-06-28",5.1532
"1995-06-29",5.3969
"1995-06-30",4.4797
"1995-07-01",4.9782
"1995-07-02",4.9902
"1995-07-03",5.0068
"1995-07-04",5.1341
"1995-07-05",5.3547
"1995-07-06",5.3735
"1995-07-07",5.0548
"1995-07-08",4.653
"1995-07-09",4.3652
"1995-07-10",4.1397
"1995-07-11",3.8787
"1995-07-12",3.8719
"1995-07-13",4.6476
"1995-07-14",5.3944
"1995-07-15",5.4568
"1995-07-16",5.7746
"1995-07-17",3.3153
"1995-07-18",5.0902
"1995-07-19",4.898
"1995-07-20",5.0848
"1995-07-21",5.1135
"1995-07-22",5.0079
"1995-07-23",5.2574
"1995-07-24",5.3801
"1995-07-25",5.6669
"1995-07-26",5.631
"1995-07-27",6.0374
"1995-07-28",6.1653
"1995-07-29",5.788
"1995-07-30",5.4267
"1995-07-31",5.8998
"1995-08-01",5.8398
"1995-08-02",5.4403
"1995-08-03",5.5889
"1995-08-04",5.2501
"1995-08-05",5.5518
"1995-08-06",5.4992
"1995-08-07",5.3639
"1995-08-08",4.9755
"1995-08-09",5.5704
"1995-08-10",5.3301
"1995-08-11",4.9271
"1995-08-12",4.7231
"1995-08-13",4.7878
"1995-08-14",5.1112
"1995-08-15",5.4321
"1995-08-16",4.7937
"1995-08-17",4.4697
"1995-08-18",4.8268
"1995-08-19",5.1382
"1995-08-20",4.9573
"1995-08-21",4.4353
"1995-08-22",4.4682
"1995-08-23",4.8561
"1995-08-24",4.8695
"1995-08-25",4.8415
"1995-08-26",4.3152
"1995-08-27",4.8656
"1995-08-28",4.8293
"1995-08-29",4.6355
"1995-08-30",4.5159
"1995-08-31",4.4596
"1995-09-01",5.067
"1995-09-02",5.0026
"1995-09-03",4.9452
"1995-09-04",4.5917
"1995-09-05",4.0762
"1995-09-06",4.1162
"1995-09-07",4.1665
"1995-09-08",3.7801
"1995-09-09",3.8383
"1995-09-10",3.9903
"1995-09-11",4.2999
"1995-09-12",4.1288
"1995-09-13",4.2068
"1995-09-14",4.6068
"1995-09-15",4.7331
"1995-09-16",4.2371
"1995-09-17",3.7299
"1995-09-18",3.9089
"1995-09-19",4.0111
"1995-09-20",4.1062
"1995-09-21",3.7333
"1995-09-22",2.2402
"1995-09-23",3.7261
"1995-09-24",2.4668
"1995-09-25",3.1989
"1995-09-26",3.0388
"1995-09-27",3.1104
"1995-09-28",2.0459
"1995-09-29",2.6049
"1995-09-30",3.1072
"1995-10-01",3.0507
"1995-10-02",3.2424
"1995-10-03",3.4925
"1995-10-04",2.9557
"1995-10-05",3.2288
"1995-10-06",3.2251
"1995-10-07",2.8413
"1995-10-08",2.6375
"1995-10-09",2.7636
"1995-10-10",3.4002
"1995-10-11",3.1163
"1995-10-12",2.391
"1995-10-13",3.0537
"1995-10-14",3.0789
"1995-10-15",3.2665
"1995-10-16",2.5339
"1995-10-17",3.069
"1995-10-18",2.7547
"1995-10-19",2.8212
"1995-10-20",2.0723
"1995-10-21",2.8028
"1995-10-22",1.9376
"1995-10-23",2.1962
"1995-10-24",2.2268
"1995-10-25",2.2066
"1995-10-26",1.7955
"1995-10-27",1.6851
"1995-10-28",1.8558
"1995-10-29",2.1018
"1995-10-30",2.2244
"1995-10-31",1.2434
"1995-11-01",1.8098
"1995-11-02",1.5008
"1995-11-03",1.9545
"1995-11-04",2.1084
"1995-11-05",1.9814
"1995-11-06",1.2921
"1995-11-07",1.608
"1995-11-08",1.691
"1995-11-09",1.3444
"1995-11-10",1.2712
"1995-11-11",1.9364
"1995-11-12",1.544
"1995-11-13",1.8069
"1995-11-14",2.0486
"1995-11-15",1.3346
"1995-11-16",1.4302
"1995-11-17",2.1509
"1995-11-18",1.0073
"1995-11-19",1.4613
"1995-11-20",1.8137
"1995-11-21",1.3204
"1995-11-22",0.7637
"1995-11-23",1.5331
"1995-11-24",1.5512
"1995-11-25",1.8079
"1995-11-26",0.9114
"1995-11-27",1.052
"1995-11-28",1.0144
"1995-11-29",1.7285
"1995-11-30",1.3345
"1995-12-01",0.6097
"1995-12-02",0.6712
"1995-12-03",0.7722
"1995-12-04",0.5255
"1995-12-05",0.6696
"1995-12-06",0.7442
"1995-12-07",0.9207
"1995-12-08",0.7668
"1995-12-09",0.9263
"1995-12-10",1.4724
"1995-12-11",0.4484
"1995-12-12",0.3476
"1995-12-13",0.5822
"1995-12-14",0.5173
"1995-12-15",0.3352
"1995-12-16",0.6425
"1995-12-17",0.8776
"1995-12-18",0.3821
"1995-12-19",0.7137
"1995-12-20",0.7637
"1995-12-21",0.7935
"1995-12-22",0.3964
"1995-12-23",0.7094
"1995-12-24",0.8237
"1995-12-25",1.0808
"1995-12-26",1.0121
"1995-12-27",0.6182
"1995-12-28",0.4915
"1995-12-29",0.3116
"1995-12-30",0.4072
"1995-12-31",1.1033
"1996-01-01",1.3613
"1996-01-02",1.1597
"1996-01-03",0.9116
"1996-01-04",0.4515
"1996-01-05",0.654
"1996-01-06",1.0009
"1996-01-07",0.8584
"1996-01-08",0.8157
"1996-01-09",0.8355
"1996-01-10",0.9797
"1996-01-11",1.6806
"1996-01-12",1.6449
"1996-01-13",1.4962
"1996-01-14",1.3655
"1996-01-15",0.5502
"1996-01-16",0.4223
"1996-01-17",0.7334
"1996-01-18",0.3826
"1996-01-19",0.3501
"1996-01-20",0.4635
"1996-01-21",0.3701
"1996-01-22",0.2842
"1996-01-23",0.3704
"1996-01-24",0.3701
"1996-01-25",0.6665
"1996-01-26",0.5318
"1996-01-27",0.4217
"1996-01-28",0.7032
"1996-01-29",0.737
"1996-01-30",0.488
"1996-01-31",0.4256
"1996-02-01",1.0442
"1996-02-02",0.557
"1996-02-03",0.6179
"1996-02-04",0.7063
"1996-02-05",1.1783
"1996-02-06",0.9456
"1996-02-07",1.3063
"1996-02-08",1.9811
"1996-02-09",1.1935
"1996-02-10",1.0794
"1996-02-11",2.1658
"1996-02-12",2.0399
"1996-02-13",2.131
"1996-02-14",2.178
"1996-02-15",1.8044
"1996-02-16",1.117
"1996-02-17",1.0495
"1996-02-18",1.1078
"1996-02-19",0.5051
"1996-02-20",0.7884
"1996-02-21",0.4983
"1996-02-22",0.633
"1996-02-23",1.0323
"1996-02-24",0.478
"1996-02-25",0.454
"1996-02-26",0.7998
"1996-02-27",0.58
"1996-02-28",0.8233
"1996-02-29",1.0313
"1996-03-01",1.8232
"1996-03-02",1.774
"1996-03-03",0.9403
"1996-03-04",0.5469
"1996-03-05",0.6087
"1996-03-06",1.3939
"1996-03-07",1.8367
"1996-03-08",2.6588
"1996-03-09",1.7617
"1996-03-10",1.1296
"1996-03-11",0.8298
"1996-03-12",0.8621
"1996-03-13",1.3694
"1996-03-14",1.9411
"1996-03-15",2.3745
"1996-03-16",2.4692
"1996-03-17",2.8855
"1996-03-18",2.7161
"1996-03-19",2.9178
"1996-03-20",3.2861
"1996-03-21",3.0532
"1996-03-22",1.2307
"1996-03-23",2.0362
"1996-03-24",2.3381
"1996-03-25",1.7856
"1996-03-26",2.1991
"1996-03-27",1.2209
"1996-03-28",1.0749
"1996-03-29",2.4092
"1996-03-30",2.461
"1996-03-31",2.8335
"1996-04-01",1.1997
"1996-04-02",1.8669
"1996-04-03",2.1124
"1996-04-04",2.5064
"1996-04-05",3.5782
"1996-04-06",3.7559
"1996-04-07",4.1786
"1996-04-08",3.9422
"1996-04-09",2.763
"1996-04-10",2.4169
"1996-04-11",2.8849
"1996-04-12",1.9732
"1996-04-13",2.8605
"1996-04-14",2.858
"1996-04-15",1.7375
"1996-04-16",1.2503
"1996-04-17",1.3833
"1996-04-18",1.5704
"1996-04-19",1.0866
"1996-04-20",2.0223
"1996-04-21",1.8354
"1996-04-22",2.6616
"1996-04-23",3.0874
"1996-04-24",2.6428
"1996-04-25",4.0089
"1996-04-26",4.2326
"1996-04-27",4.0987
"1996-04-28",3.9097
"1996-04-29",4.7251
"1996-04-30",4.6046
"1996-05-01",4.238
"1996-05-02",3.7958
"1996-05-03",3.7601
"1996-05-04",4.0242
"1996-05-05",3.598
"1996-05-06",3.8173
"1996-05-07",3.9757
"1996-05-08",4.0054
"1996-05-09",4.2646
"1996-05-10",3.641
"1996-05-11",3.3631
"1996-05-12",5.2667
"1996-05-13",3.9718
"1996-05-14",1.6153
"1996-05-15",1.9958
"1996-05-16",1.6735
"1996-05-17",1.7631
"1996-05-18",2.0065
"1996-05-19",2.9712
"1996-05-20",3.6461
"1996-05-21",1.5376
"1996-05-22",3.0357
"1996-05-23",2.9086
"1996-05-24",3.779
"1996-05-25",4.1423
"1996-05-26",3.9456
"1996-05-27",3.1564
"1996-05-28",3.0125
"1996-05-29",3.9653
"1996-05-30",3.8732
"1996-05-31",4.477
